payroll_id,employee_id,pay_period_start,pay_period_end,pay_date,payroll_type,base_salary,hourly_rate,hours_worked,overtime_hours,overtime_rate_multiplier,gross_earnings,bonus_amount,commission_amount,allowance_amount,other_earnings,deduction_tax,deduction_pf,deduction_insurance,deduction_loan,deduction_other,total_deductions,net_pay,ytd_gross,ytd_tax,ytd_net,currency_code,payment_method,bank_account_number,status,created_at,created_by,updated_at,updated_by,is_active,notes,tax_regime,effective_from,effective_to
34,34,2023-01-01,2023-01-31,2023-02-02,Monthly,4468.28,,,10.07,2.0,10468.14,3437.6,1324.21,411.44,264.17,2263.4,583.95,300.39,868.33,87.92,4103.99,6364.15,104681.4,22634.0,63641.5,USD,Bank Transfer,7682185522,Processed,2025-02-26 16:38:39,29,2025-02-26 18:38:39,46,True,Tax revision,,,
35,35,2023-01-01,2023-01-31,2023-02-01,Monthly,6357.21,,,15.34,1.5,13740.72,3589.95,2423.89,250.27,205.15,2700.21,978.29,222.85,545.66,494.26,4941.27,8799.45,151147.92,29702.31,96793.95,EUR,Bank Transfer,8877425004,Processed,2026-01-27 16:38:39,29,2026-01-27 18:38:39,19,True,Adjustment for overtime,Old Regime,,
36,36,2023-01-01,2023-02-01,2023-02-02,One-time,7750.52,,,8.51,1.5,13686.09,2715.39,2023.96,564.41,13.46,1368.89,1290.46,400.17,802.76,476.37,4338.65,9347.44,82116.54,8213.34,56084.64,EUR,Cash,2150463770,Reversed,2025-11-10 16:38:39,25,2025-11-10 18:38:39,41,True,Tax revision,Old Regime,2024-02-10,2024-12-24
37,37,2023-01-01,2023-01-30,2023-02-03,Monthly,5800.42,,,5.21,1.5,11262.29,622.46,2440.27,1928.08,187.75,2590.44,575.21,61.66,8.05,143.43,3378.79,7883.5,45049.16,10361.76,31534.0,USD,Bank Transfer,9285248802,Paid,2025-10-29 16:38:39,40,2025-10-29 17:38:39,4,True,Bonus included,Old Regime,,
38,38,2023-01-01,2023-01-28,2023-01-29,Monthly,10328.15,,,17.19,1.5,16358.01,1398.45,321.59,1725.4,919.97,4056.57,1094.67,388.28,287.98,322.59,6150.09,10207.92,49074.03,12169.71,30623.76,USD,Check,9241507501,Processed,2025-05-23 16:38:39,1,2025-05-23 19:38:39,45,True,Bonus included,Old Regime,,
39,39,2023-01-01,2023-01-31,2023-02-02,Monthly,6563.09,,,13.21,2.0,14842.24,3930.33,1161.49,1369.6,734.0,1534.62,1190.28,483.57,330.57,217.82,3756.86,11085.38,118737.92,12276.96,88683.04,USD,Check,8968733897,Draft,2025-07-28 16:38:39,38,2025-07-28 18:38:39,7,True,Bonus included,Old Regime,2024-03-29,2025-03-26
40,40,2023-01-01,2023-01-31,2023-02-03,Monthly,11446.23,,,8.75,1.5,18953.04,4004.07,2028.98,92.37,442.44,4428.49,1858.72,254.69,460.38,417.58,7419.86,11533.18,151624.32,35427.92,92265.44,USD,Bank Transfer,6243976042,Processed,2025-06-22 16:38:39,28,2025-06-22 20:38:39,17,True,Adjustment for overtime,New Regime,2024-02-26,2024-07-31
41,41,2023-01-01,2023-01-28,2023-02-01,Monthly,9439.92,,,7.44,1.5,17556.75,4428.69,2125.98,492.42,411.31,3332.63,1532.04,120.74,521.79,373.88,5881.08,11675.67,105340.5,19995.78,70054.02,USD,Bank Transfer,3742777240,Draft,2025-03-17 16:38:39,31,2025-03-17 19:38:39,43,True,Adjustment for overtime,Old Regime,,
42,42,2023-01-01,2023-01-30,2023-02-03,Monthly,10137.39,,,4.28,1.5,12236.21,471.18,625.64,365.48,229.76,2270.51,868.85,55.26,699.64,386.05,4280.31,7955.9,12236.21,2270.51,7955.9,USD,Bank Transfer,9759651576,Draft,2025-09-23 16:38:39,4,2025-09-23 21:38:39,17,True,Bonus included,New Regime,2023-09-22,2023-11-04
43,43,2023-01-01,2023-01-29,2023-02-03,Monthly,7148.21,,,7.09,1.5,13126.95,2883.06,1940.33,46.54,633.68,1611.99,859.67,212.36,454.62,162.41,3301.05,9825.9,131269.5,16119.9,98259.0,USD,Bank Transfer,5726703549,Reversed,2025-07-15 16:38:39,35,2025-07-15 19:38:39,45,True,Bonus included,Old Regime,,
44,44,2023-01-01,2023-01-31,2023-02-03,Monthly,11361.83,,,10.68,1.5,21063.47,4938.12,1908.91,1038.65,678.36,5543.6,1984.33,197.82,759.05,52.32,8537.12,12526.35,63190.41,16630.8,37579.05,USD,Check,8184197131,Paid,2025-03-16 16:38:39,13,2025-03-16 18:38:39,23,True,,,2024-01-14,2024-08-16
45,45,2023-01-01,2023-01-29,2023-01-30,Monthly,,62.24,176.11,9.43,2.0,15292.91,1428.92,1054.14,359.8,315.12,4146.39,1177.78,15.21,999.1,139.0,6477.48,8815.43,152929.1,41463.9,88154.3,USD,Check,6848257193,Processed,2026-01-15 16:38:39,15,2026-01-15 17:38:39,2,True,Adjustment for overtime,New Regime,2023-04-13,2024-02-22
46,46,2023-01-01,2023-01-30,2023-02-01,Monthly,9716.28,,,15.21,1.5,17863.94,1786.0,2764.68,1563.63,647.87,3536.91,1380.77,186.88,601.46,346.76,6052.78,11811.16,17863.94,3536.91,11811.16,USD,Check,5554504677,Processed,2025-06-01 16:38:39,11,2025-06-01 17:38:39,43,True,,,2023-10-19,2023-11-22
47,47,2023-01-01,2023-01-28,2023-01-29,Monthly,4797.49,,,4.18,2.0,7742.28,2056.48,19.94,295.93,321.77,1935.05,409.63,393.48,356.18,158.58,3252.92,4489.36,92907.36,23220.6,53872.32,USD,Bank Transfer,1228012979,Processed,2025-04-24 16:38:39,45,2025-04-24 21:38:39,44,True,Tax revision,New Regime,,
48,48,2023-01-01,2023-01-30,2023-02-04,Monthly,10169.1,,,1.43,2.0,17039.43,3343.83,1798.59,1003.33,542.81,2892.37,1506.18,238.18,452.17,77.07,5165.97,11873.46,102236.58,17354.22,71240.76,USD,Bank Transfer,7475859248,Processed,2025-02-28 16:38:39,25,2025-02-28 22:38:39,36,True,Tax revision,Old Regime,2023-03-14,2024-01-27
49,49,2023-01-01,2023-01-29,2023-02-03,Monthly,12076.17,,,5.17,1.5,16432.86,2601.4,520.15,154.6,495.22,2676.14,826.65,228.62,143.38,328.08,4202.87,12229.99,32865.72,5352.28,24459.98,INR,Bank Transfer,9706000660,Processed,2026-01-20 16:38:39,49,2026-01-20 20:38:39,46,True,,,2024-06-28,2025-03-12
50,50,2023-01-01,2023-01-28,2023-01-31,One-time,6608.52,,,19.46,2.0,14146.86,2714.8,1139.66,1372.86,703.5,2193.15,905.49,34.47,112.28,257.26,3502.65,10644.21,99028.02,15352.05,74509.47,USD,Bank Transfer,3441483549,Processed,2025-12-20 16:38:39,10,2025-12-20 17:38:39,31,True,Adjustment for overtime,,,
51,51,2023-01-01,2023-02-01,2023-02-05,Monthly,8892.15,,,8.13,2.0,12765.23,1823.07,686.5,102.91,356.94,3303.92,1003.92,111.32,642.74,383.27,5445.17,7320.06,89356.61,23127.44,51240.42,USD,Bank Transfer,1350350563,Processed,2025-12-21 16:38:39,1,2025-12-21 18:38:39,16,True,Tax revision,,2024-08-14,2025-03-27
52,52,2023-01-01,2023-02-01,2023-02-05,Monthly,3452.53,,,14.82,2.0,11946.36,4863.98,1836.17,652.36,501.74,1322.74,906.12,483.18,988.18,107.9,3808.12,8138.24,11946.36,1322.74,8138.24,USD,Bank Transfer,7971325298,Processed,2025-02-16 16:38:39,28,2025-02-16 17:38:39,21,True,Bonus included,,2024-08-04,2025-02-22
53,53,2023-01-01,2023-01-29,2023-01-30,Monthly,,64.4,170.68,2.53,1.5,15893.35,471.26,2890.7,965.48,329.72,4001.86,911.54,290.57,93.3,401.87,5699.14,10194.21,158933.5,40018.6,101942.1,USD,Bank Transfer,2583471310,Paid,2025-04-02 16:38:39,49,2025-04-02 19:38:39,40,True,Bonus included,New Regime,,
54,54,2023-01-01,2023-02-01,2023-02-05,Monthly,12182.5,,,14.98,1.5,19277.45,4054.11,810.84,433.9,85.22,3123.03,1493.05,419.91,959.66,122.88,6118.53,13158.92,134942.15,21861.21,92112.44,USD,Check,7040850272,Processed,2025-03-07 16:38:39,25,2025-03-07 18:38:39,12,True,Tax revision,New Regime,,
55,55,2023-01-01,2023-01-31,2023-02-03,Monthly,,57.21,142.19,10.89,1.5,14769.21,778.17,2680.43,1360.94,880.45,1892.38,930.3,370.82,955.97,478.89,4628.36,10140.85,162461.31,20816.18,111549.35,EUR,Bank Transfer,1869883841,Processed,2025-09-17 16:38:39,22,2025-09-17 20:38:39,30,True,Bonus included,Old Regime,2024-01-21,2024-11-20
56,56,2023-01-01,2023-01-28,2023-01-31,Monthly,11971.12,,,11.39,1.5,17312.68,2435.05,435.48,433.69,759.05,2498.61,1683.31,282.86,31.45,142.81,4639.04,12673.64,138501.44,19988.88,101389.12,USD,Bank Transfer,7523842885,Processed,2025-07-03 16:38:39,28,2025-07-03 20:38:39,7,True,Tax revision,Old Regime,2023-05-19,2024-03-18
57,57,2023-01-01,2023-01-29,2023-02-01,Monthly,3938.15,,,8.26,2.0,12086.34,4448.72,2592.93,145.38,554.55,2816.47,1177.8,478.83,810.22,416.75,5700.07,6386.27,108777.06,25348.23,57476.43,USD,Bank Transfer,9629917789,Processed,2025-07-16 16:38:39,28,2025-07-16 18:38:39,38,True,,Old Regime,2024-04-01,2024-06-27
58,58,2023-01-01,2023-01-29,2023-01-31,Monthly,9063.43,,,9.04,1.5,14859.76,3587.37,81.99,510.37,848.47,2940.24,1088.33,327.21,713.74,492.9,5562.42,9297.34,104018.32,20581.68,65081.38,USD,Bank Transfer,4347505419,Paid,2025-09-27 16:38:39,23,2025-09-27 17:38:39,24,True,,Old Regime,,
59,59,2023-01-01,2023-02-01,2023-02-04,Weekly,8362.44,,,5.49,2.0,16559.75,3347.86,2268.59,1848.03,158.96,3847.51,1392.16,445.99,605.09,483.23,6773.98,9785.77,49679.25,11542.53,29357.31,USD,Bank Transfer,1983756787,Processed,2025-03-03 16:38:39,8,2025-03-03 17:38:39,31,True,Adjustment for overtime,New Regime,,
60,60,2023-01-01,2023-01-29,2023-02-03,Monthly,7849.61,,,5.15,2.0,14853.13,3256.51,730.75,1828.05,682.89,3454.35,895.16,312.99,978.36,192.99,5833.85,9019.28,74265.65,17271.75,45096.4,USD,Bank Transfer,1826887252,Processed,2025-03-24 16:38:39,23,2025-03-24 19:38:39,10,True,Adjustment for overtime,Old Regime,2023-11-23,2024-09-10
61,61,2023-01-01,2023-01-29,2023-01-31,Monthly,4792.17,,,6.2,2.0,10009.44,2599.49,823.66,1063.61,359.12,1807.62,884.95,226.29,565.38,129.37,3613.61,6395.83,120113.28,21691.44,76749.96,USD,Bank Transfer,6895452020,Processed,2025-07-04 16:38:39,40,2025-07-04 22:38:39,32,True,Bonus included,New Regime,2024-02-06,2024-12-10
62,62,2023-01-01,2023-01-29,2023-01-31,Monthly,8781.82,,,7.93,2.0,17666.03,4476.2,2113.85,674.66,749.0,3010.45,1259.17,222.78,488.01,256.9,5237.31,12428.72,141328.24,24083.6,99429.76,INR,Bank Transfer,8861484237,Draft,2025-06-30 16:38:39,36,2025-06-30 21:38:39,40,True,Adjustment for overtime,,,
63,63,2023-01-01,2023-02-01,2023-02-06,Monthly,,66.34,142.42,10.43,1.5,17257.4,3258.07,2353.64,857.32,302.34,2876.68,1112.11,221.1,374.13,407.33,4991.35,12266.05,155316.6,25890.12,110394.45,USD,Bank Transfer,6081998528,Paid,2025-02-15 16:38:39,8,2025-02-15 18:38:39,17,True,Tax revision,,,
64,64,2023-01-01,2023-01-31,2023-02-01,Monthly,4359.22,,,10.2,1.5,14298.34,4501.25,2647.42,1468.85,904.75,3503.79,981.91,327.31,785.5,54.92,5653.43,8644.91,128685.06,31534.11,77804.19,USD,Check,4200868386,Processed,2026-01-18 16:38:39,12,2026-01-18 17:38:39,20,True,Adjustment for overtime,,2023-08-03,2023-11-29
65,65,2023-01-01,2023-02-01,2023-02-02,Monthly,11912.14,,,10.95,1.5,17576.27,2940.67,701.99,266.86,531.75,3347.58,1276.55,210.67,570.34,278.78,5683.92,11892.35,158186.43,30128.22,107031.15,USD,Bank Transfer,2007326987,Processed,2026-01-05 16:38:39,24,2026-01-05 22:38:39,1,True,Bonus included,Old Regime,,
66,66,2023-01-01,2023-01-28,2023-02-02,Monthly,,62.52,164.74,6.9,2.0,16887.89,1340.54,2478.07,1251.27,655.69,4305.1,1371.55,489.38,330.11,490.88,6987.02,9900.87,135103.12,34440.8,79206.96,USD,Bank Transfer,3471529787,Processed,2025-12-04 16:38:39,18,2025-12-04 19:38:39,43,False,Tax revision,Old Regime,2024-01-08,2024-04-29
67,67,2023-01-01,2023-01-30,2023-02-02,Monthly,,16.24,171.76,9.34,1.5,7914.31,4219.28,98.04,529.82,50.27,1283.31,546.1,235.2,724.08,307.68,3096.37,4817.94,79143.1,12833.1,48179.4,INR,Bank Transfer,7834783632,Paid,2025-05-29 16:38:39,2,2025-05-29 21:38:39,4,True,Bonus included,,,
68,68,2023-01-01,2023-01-28,2023-02-02,Monthly,7024.18,,,18.24,2.0,14497.09,2436.15,1574.07,1525.06,336.12,3962.98,1133.49,188.85,793.09,42.34,6120.75,8376.34,101479.63,27740.86,58634.38,USD,Bank Transfer,4632339379,Processed,2025-02-03 16:38:39,9,2025-02-03 17:38:39,4,True,Tax revision,New Regime,2024-04-15,2024-10-02
69,69,2023-01-01,2023-01-30,2023-02-01,Monthly,,47.02,145.17,13.91,1.5,12459.67,162.05,2271.66,1727.31,491.68,3376.65,728.83,432.73,346.11,66.27,4950.59,7509.08,137056.37,37143.15,82599.88,USD,Bank Transfer,4326492430,Processed,2026-02-02 16:38:39,35,2026-02-02 19:38:39,25,True,,New Regime,,
70,70,2023-01-01,2023-01-29,2023-02-02,One-time,,42.01,156.86,8.9,2.0,12981.58,2364.75,2539.14,17.56,722.66,2624.56,970.62,327.89,62.2,357.16,4342.43,8639.15,64907.9,13122.8,43195.75,USD,Bank Transfer,5605068929,Reversed,2025-10-30 16:38:39,22,2025-10-30 22:38:39,19,True,Tax revision,,2023-11-18,2024-04-27
71,71,2023-01-01,2023-02-01,2023-02-03,Weekly,12337.57,,,1.53,2.0,21996.9,4764.36,2688.05,1251.08,719.88,6570.14,1261.73,398.11,489.1,405.96,9125.04,12871.86,21996.9,6570.14,12871.86,USD,Bank Transfer,6068939970,Paid,2025-12-26 16:38:39,35,2025-12-26 20:38:39,13,True,Adjustment for overtime,New Regime,2024-01-28,2024-06-16
72,72,2023-01-01,2023-01-29,2023-02-02,Monthly,10453.25,,,2.98,1.5,17789.74,3712.09,2562.28,324.09,445.99,4229.21,1236.65,84.97,350.99,113.64,6015.46,11774.28,53369.22,12687.63,35322.84,EUR,Bank Transfer,1442985914,Processed,2025-02-07 16:38:39,7,2025-02-07 22:38:39,18,True,Bonus included,,2023-09-27,2024-01-08
73,73,2023-01-01,2023-01-31,2023-02-04,Bi-weekly,5575.36,,,1.48,2.0,11184.57,1533.29,2160.74,1071.8,740.24,1543.54,629.74,28.12,30.77,277.86,2510.03,8674.54,123030.27,16978.94,95419.94,USD,Check,1540923768,Draft,2026-01-24 16:38:39,20,2026-01-24 17:38:39,23,True,,,,
